trial_id,model,bias,surface,condition,temperature,gain_value,loss_value,price_value,prompt,raw_response,parsed_choice,parse_failed,latency_ms,retry_count,timestamp
gpt-4o-mini__framing__canonical__gain_frame__t07__000,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,586,0,2026-04-29T13:14:47.137481+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__001,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,576,0,2026-04-29T13:14:47.815077+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__002,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,571,0,2026-04-29T13:14:48.489611+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__003,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,603,0,2026-04-29T13:14:49.194050+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__004,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,598,0,2026-04-29T13:14:49.893360+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__005,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,590,0,2026-04-29T13:14:50.585119+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__006,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,584,0,2026-04-29T13:14:51.270483+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__007,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,770,0,2026-04-29T13:14:52.142420+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__008,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,801,0,2026-04-29T13:14:53.044903+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__009,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,764,0,2026-04-29T13:14:53.909710+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__010,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,601,0,2026-04-29T13:14:54.611555+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__011,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,576,0,2026-04-29T13:14:55.288651+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__012,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,774,0,2026-04-29T13:14:56.164232+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__013,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,750,0,2026-04-29T13:14:57.016136+00:00
