trial_id,model,bias,surface,condition,temperature,gain_value,loss_value,price_value,prompt,raw_response,parsed_choice,parse_failed,timestamp
gemma3:4b__framing__canonical__gain_frame__t03__000,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:38:19.360419+00:00
gemma3:4b__framing__canonical__gain_frame__t03__001,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:38:22.078901+00:00
gemma3:4b__framing__canonical__gain_frame__t03__002,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:38:25.043273+00:00
gemma3:4b__framing__canonical__gain_frame__t03__003,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:38:27.931988+00:00
gemma3:4b__framing__canonical__gain_frame__t03__004,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:38:30.521654+00:00
gemma3:4b__framing__canonical__gain_frame__t03__005,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:38:33.275400+00:00
gemma3:4b__framing__canonical__gain_frame__t03__006,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:38:35.984433+00:00
gemma3:4b__framing__canonical__gain_frame__t03__007,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:38:38.726484+00:00
gemma3:4b__framing__canonical__gain_frame__t03__008,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:38:41.348591+00:00
gemma3:4b__framing__canonical__gain_frame__t03__009,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:38:43.951532+00:00
gemma3:4b__framing__canonical__gain_frame__t03__010,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:38:46.461962+00:00
gemma3:4b__framing__canonical__gain_frame__t03__011,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:38:49.169088+00:00
gemma3:4b__framing__canonical__gain_frame__t03__012,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:38:51.970151+00:00
gemma3:4b__framing__canonical__gain_frame__t03__013,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:38:54.750978+00:00
gemma3:4b__framing__canonical__gain_frame__t03__014,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:38:57.583300+00:00
